Datetime,chan0,chan1,chan2,chan3
2020-11-15 21:52:15.211,1.675801,1.711427,1.715177,1.715052
2020-11-15 21:52:15.228,1.674551,1.712302,1.722678,1.714802
2020-11-15 21:52:15.245,1.674801,1.710427,1.719677,1.715677
2020-11-15 21:52:15.262,1.673926,1.705302,1.719552,1.715177
2020-11-15 21:52:15.279,1.674801,1.707802,1.713052,1.715302
2020-11-15 21:52:15.296,1.676051,1.707927,1.714427,1.714802
2020-11-15 21:52:15.313,1.675676,1.712302,1.714802,1.713427
2020-11-15 21:52:15.330,1.675301,1.710802,1.718177,1.715427
2020-11-15 21:52:15.347,1.674051,1.712177,1.721303,1.714927
2020-11-15 21:52:15.364,1.674551,1.707427,1.719427,1.715677
2020-11-15 21:52:15.381,1.673926,1.707677,1.718177,1.715927
2020-11-15 21:52:15.398,1.675051,1.708427,1.710927,1.716052
2020-11-15 21:52:15.415,1.675801,1.709302,1.714552,1.715052
2020-11-15 21:52:15.432,1.675301,1.714302,1.715927,1.715177
2020-11-15 21:52:15.449,1.675176,1.711427,1.722178,1.714427
2020-11-15 21:52:15.466,1.674926,1.711177,1.719802,1.715177
2020-11-15 21:52:15.483,1.674426,1.707177,1.719552,1.715052
2020-11-15 21:52:15.500,1.674676,1.707677,1.715302,1.714802
2020-11-15 21:52:15.518,1.677051,1.707552,1.714177,1.714927
2020-11-15 21:52:15.535,1.675926,1.712302,1.714802,1.714802
2020-11-15 21:52:15.552,1.675926,1.712177,1.716552,1.714927
2020-11-15 21:52:15.569,1.674426,1.711177,1.722928,1.714177
2020-11-15 21:52:15.587,1.673676,1.711302,1.719927,1.715427
2020-11-15 21:52:15.604,1.675051,1.706927,1.718927,1.715677
2020-11-15 21:52:15.621,1.674176,1.707927,1.717177,1.715177
2020-11-15 21:52:15.638,1.676176,1.708177,1.711927,1.715177
2020-11-15 21:52:15.655,1.675676,1.711052,1.714927,1.715052
2020-11-15 21:52:15.672,1.676176,1.712052,1.716177,1.715177
2020-11-15 21:52:15.689,1.674051,1.710802,1.722178,1.714552
2020-11-15 21:52:15.706,1.674426,1.710427,1.719552,1.715302
2020-11-15 21:52:15.723,1.674426,1.705177,1.718927,1.714802
2020-11-15 21:52:15.740,1.675051,1.708052,1.713427,1.715052
2020-11-15 21:52:15.757,1.676301,1.707302,1.715177,1.715302
2020-11-15 21:52:15.774,1.676176,1.713427,1.714552,1.714927
2020-11-15 21:52:15.791,1.676551,1.711302,1.718177,1.714802
2020-11-15 21:52:15.808,1.674176,1.711802,1.720928,1.714802
2020-11-15 21:52:15.825,1.674801,1.708052,1.719802,1.716677
2020-11-15 21:52:15.842,1.674176,1.707802,1.718052,1.715677
2020-11-15 21:52:15.859,1.674801,1.708177,1.711302,1.715177
