Datetime,chan0,chan1,chan2,chan3
2020-11-15 22:12:15.231,1.584048,1.711927,1.719802,1.698927
2020-11-15 22:12:15.248,1.585923,1.711552,1.725178,1.699302
2020-11-15 22:12:15.265,1.583798,1.707677,1.721303,1.701052
2020-11-15 22:12:15.282,1.583798,1.704427,1.718177,1.700802
2020-11-15 22:12:15.299,1.585673,1.705802,1.709177,1.699427
2020-11-15 22:12:15.316,1.585673,1.709427,1.714177,1.699677
2020-11-15 22:12:15.333,1.585173,1.716927,1.714302,1.699927
2020-11-15 22:12:15.350,1.584173,1.711677,1.721803,1.699302
2020-11-15 22:12:15.367,1.584423,1.710677,1.721303,1.700052
2020-11-15 22:12:15.384,1.584798,1.702177,1.720803,1.701177
2020-11-15 22:12:15.401,1.585423,1.704552,1.712552,1.700052
2020-11-15 22:12:15.418,1.585798,1.705802,1.713677,1.699552
2020-11-15 22:12:15.435,1.584423,1.711052,1.714177,1.699177
2020-11-15 22:12:15.452,1.585673,1.712677,1.717427,1.699552
2020-11-15 22:12:15.469,1.584423,1.712552,1.727178,1.699302
2020-11-15 22:12:15.486,1.584173,1.705927,1.720803,1.701427
2020-11-15 22:12:15.503,1.584423,1.703677,1.719427,1.700802
2020-11-15 22:12:15.520,1.584173,1.705802,1.709927,1.700302
2020-11-15 22:12:15.537,1.585048,1.707927,1.714677,1.699427
2020-11-15 22:12:15.554,1.585423,1.717177,1.715802,1.699677
2020-11-15 22:12:15.571,1.583798,1.711552,1.724428,1.699177
2020-11-15 22:12:15.588,1.584673,1.711302,1.721678,1.699427
2020-11-15 22:12:15.605,1.584048,1.702177,1.721178,1.701052
2020-11-15 22:12:15.622,1.584798,1.704302,1.714927,1.699927
2020-11-15 22:12:15.639,1.584673,1.705552,1.709802,1.699927
2020-11-15 22:12:15.657,1.584423,1.708802,1.713927,1.699302
2020-11-15 22:12:15.674,1.584673,1.717552,1.714302,1.699677
2020-11-15 22:12:15.691,1.585798,1.712302,1.722303,1.699177
2020-11-15 22:12:15.708,1.584673,1.710677,1.720428,1.700677
2020-11-15 22:12:15.725,1.584423,1.702177,1.720428,1.701427
2020-11-15 22:12:15.742,1.584298,1.704927,1.713177,1.700427
2020-11-15 22:12:15.759,1.586798,1.705052,1.713427,1.700427
2020-11-15 22:12:15.776,1.585923,1.711302,1.714427,1.698802
2020-11-15 22:12:15.793,1.585548,1.714552,1.718552,1.698927
2020-11-15 22:12:15.810,1.585548,1.712177,1.727053,1.698802
2020-11-15 22:12:15.827,1.583798,1.708802,1.721178,1.700302
2020-11-15 22:12:15.844,1.585173,1.703427,1.719802,1.700677
2020-11-15 22:12:15.861,1.586173,1.706052,1.710302,1.700177
2020-11-15 22:12:15.878,1.585798,1.708302,1.714177,1.699177
2020-11-15 22:12:15.895,1.585048,1.717552,1.714302,1.699927
2020-11-15 22:12:15.912,1.584673,1.712177,1.719677,1.699552
2020-11-15 22:12:15.929,1.584173,1.711552,1.724178,1.700427
2020-11-15 22:12:15.946,1.584048,1.703302,1.721428,1.702177
2020-11-15 22:12:15.963,1.583673,1.704552,1.715177,1.700677
2020-11-15 22:12:15.980,1.585548,1.705677,1.710802,1.700052
2020-11-15 22:12:15.997,1.584923,1.709427,1.714677,1.698552
2020-11-15 22:12:16.014,1.584423,1.717177,1.716927,1.698177
2020-11-15 22:12:16.031,1.584798,1.711927,1.726803,1.699927
2020-11-15 22:12:16.048,1.584423,1.708302,1.721428,1.700677
2020-11-15 22:12:16.065,1.584298,1.700552,1.720428,1.701427
2020-11-15 22:12:16.082,1.584548,1.705802,1.712802,1.700052
2020-11-15 22:12:16.099,1.586673,1.707052,1.713177,1.699802
2020-11-15 22:12:16.115,1.584423,1.716302,1.713802,1.699052
2020-11-15 22:12:16.132,1.584673,1.712802,1.723303,1.699677
2020-11-15 22:12:16.149,1.584548,1.712052,1.721678,1.699927
2020-11-15 22:12:16.166,1.583923,1.705552,1.721178,1.701427
2020-11-15 22:12:16.183,1.583173,1.702927,1.717427,1.700177
2020-11-15 22:12:16.200,1.586673,1.705302,1.708302,1.700052
2020-11-15 22:12:16.217,1.585673,1.707927,1.714302,1.699052
2020-11-15 22:12:16.234,1.584798,1.714927,1.715552,1.698927
2020-11-15 22:12:16.251,1.583673,1.712177,1.724678,1.699177
2020-11-15 22:12:16.268,1.584048,1.708927,1.721178,1.701052
2020-11-15 22:12:16.285,1.584298,1.701052,1.721053,1.701427
2020-11-15 22:12:16.302,1.583923,1.705552,1.714927,1.701052
2020-11-15 22:12:16.319,1.586173,1.705802,1.713552,1.699677
2020-11-15 22:12:16.336,1.584423,1.715427,1.714427,1.698677
2020-11-15 22:12:16.353,1.584923,1.712802,1.720428,1.699302
2020-11-15 22:12:16.370,1.585423,1.711802,1.724803,1.699177
2020-11-15 22:12:16.387,1.583798,1.707927,1.721303,1.700677
2020-11-15 22:12:16.404,1.585048,1.699427,1.718427,1.699552
2020-11-15 22:12:16.421,1.585798,1.705302,1.709802,1.700177
2020-11-15 22:12:16.438,1.586173,1.709802,1.714052,1.699552
2020-11-15 22:12:16.455,1.585048,1.717302,1.714302,1.698302
2020-11-15 22:12:16.473,1.585048,1.713177,1.717802,1.699427
2020-11-15 22:12:16.490,1.584798,1.712052,1.727303,1.699552
2020-11-15 22:12:16.507,1.584048,1.705802,1.720553,1.701927
2020-11-15 22:12:16.524,1.584423,1.702927,1.717552,1.700552
2020-11-15 22:12:16.541,1.585548,1.705552,1.708302,1.700177
2020-11-15 22:12:16.558,1.585298,1.708677,1.715177,1.699427
2020-11-15 22:12:16.575,1.585048,1.716677,1.715927,1.698927
2020-11-15 22:12:16.592,1.584548,1.711927,1.725053,1.699177
2020-11-15 22:12:16.609,1.586673,1.709802,1.722053,1.700552
2020-11-15 22:12:16.626,1.584423,1.700302,1.720678,1.700677
2020-11-15 22:12:16.643,1.584298,1.705677,1.715802,1.700927
2020-11-15 22:12:16.660,1.585548,1.705552,1.710427,1.700427
2020-11-15 22:12:16.677,1.585173,1.714427,1.714052,1.698802
2020-11-15 22:12:16.694,1.584798,1.712927,1.716677,1.699802
2020-11-15 22:12:16.711,1.585173,1.712052,1.724803,1.700052
2020-11-15 22:12:16.728,1.584048,1.708427,1.721178,1.701052
2020-11-15 22:12:16.745,1.583798,1.699677,1.718552,1.699802
2020-11-15 22:12:16.762,1.585423,1.705552,1.709427,1.699427
