Datetime,chan0,chan1,chan2,chan3
2020-11-15 22:22:15.239,1.586923,1.696802,1.706052,1.693302
2020-11-15 22:22:15.256,1.590549,1.698552,1.703302,1.692427
2020-11-15 22:22:15.273,1.587048,1.707177,1.705427,1.691427
2020-11-15 22:22:15.290,1.586923,1.704177,1.713427,1.690427
2020-11-15 22:22:15.307,1.585548,1.702802,1.718177,1.693302
2020-11-15 22:22:15.325,1.585923,1.701427,1.713177,1.693302
2020-11-15 22:22:15.343,1.586048,1.693052,1.712802,1.693677
2020-11-15 22:22:15.360,1.586173,1.696677,1.704177,1.692927
2020-11-15 22:22:15.377,1.590424,1.697177,1.705552,1.693177
2020-11-15 22:22:15.394,1.588173,1.703302,1.706427,1.691427
2020-11-15 22:22:15.411,1.587923,1.706552,1.709802,1.691302
2020-11-15 22:22:15.428,1.585673,1.703302,1.719927,1.691177
2020-11-15 22:22:15.445,1.585548,1.700302,1.713427,1.693802
2020-11-15 22:22:15.462,1.585923,1.693552,1.712052,1.693552
2020-11-15 22:22:15.479,1.586423,1.697177,1.703302,1.693302
2020-11-15 22:22:15.496,1.590924,1.699677,1.705177,1.692052
2020-11-15 22:22:15.513,1.587298,1.708677,1.706052,1.692177
2020-11-15 22:22:15.530,1.586548,1.705052,1.710677,1.692052
2020-11-15 22:22:15.547,1.585798,1.703427,1.713927,1.692177
2020-11-15 22:22:15.564,1.585798,1.696302,1.712677,1.694302
2020-11-15 22:22:15.581,1.586923,1.694927,1.709177,1.693052
2020-11-15 22:22:15.598,1.589299,1.696427,1.700177,1.692927
2020-11-15 22:22:15.615,1.588548,1.699927,1.706552,1.691177
2020-11-15 22:22:15.632,1.587673,1.709177,1.708552,1.692177
2020-11-15 22:22:15.649,1.586048,1.703927,1.717302,1.692177
2020-11-15 22:22:15.665,1.585298,1.701052,1.714177,1.693677
2020-11-15 22:22:15.682,1.585673,1.691677,1.712802,1.693677
2020-11-15 22:22:15.699,1.586173,1.696427,1.707427,1.692802
2020-11-15 22:22:15.716,1.588173,1.697552,1.701302,1.692427
2020-11-15 22:22:15.733,1.587548,1.706177,1.706677,1.691052
2020-11-15 22:22:15.750,1.588048,1.704552,1.712177,1.692552
2020-11-15 22:22:15.767,1.585798,1.703552,1.718177,1.691927
2020-11-15 22:22:15.784,1.586048,1.699677,1.713052,1.693302
2020-11-15 22:22:15.801,1.586048,1.690802,1.711052,1.692302
2020-11-15 22:22:15.818,1.587923,1.696177,1.701802,1.693427
2020-11-15 22:22:15.835,1.590174,1.700677,1.706177,1.692302
2020-11-15 22:22:15.852,1.587798,1.710552,1.706427,1.691802
2020-11-15 22:22:15.869,1.587173,1.704802,1.713802,1.692177
2020-11-15 22:22:15.886,1.585298,1.703177,1.716552,1.692552
2020-11-15 22:22:15.903,1.585548,1.694177,1.712427,1.694927
2020-11-15 22:22:15.920,1.585798,1.696177,1.709802,1.692927
2020-11-15 22:22:15.937,1.587798,1.697552,1.703177,1.692927
2020-11-15 22:22:15.954,1.588298,1.701427,1.706552,1.691552
2020-11-15 22:22:15.971,1.587673,1.709677,1.709302,1.692427
2020-11-15 22:22:15.988,1.585798,1.703677,1.718927,1.691927
2020-11-15 22:22:16.005,1.585923,1.701927,1.713427,1.692052
2020-11-15 22:22:16.022,1.585423,1.693177,1.713177,1.693052
2020-11-15 22:22:16.039,1.586673,1.697177,1.704677,1.693427
2020-11-15 22:22:16.056,1.590799,1.698802,1.704552,1.692302
