Datetime,chan0,chan1,chan2,chan3
2020-11-15 22:32:15.255,1.598174,1.712052,1.725303,1.706677
2020-11-15 22:32:15.272,1.597799,1.706927,1.722678,1.705802
2020-11-15 22:32:15.289,1.598799,1.709052,1.713552,1.705677
2020-11-15 22:32:15.306,1.600299,1.712677,1.717052,1.704927
2020-11-15 22:32:15.323,1.597799,1.722053,1.717927,1.704302
2020-11-15 22:32:15.340,1.598299,1.716677,1.729178,1.704677
2020-11-15 22:32:15.357,1.598049,1.715427,1.726178,1.705177
2020-11-15 22:32:15.374,1.597549,1.706427,1.724303,1.706677
2020-11-15 22:32:15.391,1.598549,1.707802,1.719302,1.705302
2020-11-15 22:32:15.408,1.600299,1.708802,1.713177,1.704927
2020-11-15 22:32:15.425,1.598924,1.711927,1.718177,1.703552
2020-11-15 22:32:15.442,1.598799,1.721053,1.720803,1.703927
2020-11-15 22:32:15.459,1.597799,1.715802,1.730178,1.705052
2020-11-15 22:32:15.476,1.596799,1.712302,1.725303,1.706302
2020-11-15 22:32:15.493,1.597799,1.703677,1.724178,1.705927
2020-11-15 22:32:15.510,1.597674,1.708802,1.716052,1.705677
2020-11-15 22:32:15.527,1.601049,1.710052,1.714302,1.704677
2020-11-15 22:32:15.545,1.599674,1.713927,1.716802,1.704177
2020-11-15 22:32:15.562,1.598049,1.721178,1.721428,1.704927
2020-11-15 22:32:15.579,1.598174,1.715677,1.731303,1.704802
2020-11-15 22:32:15.596,1.597299,1.713427,1.725053,1.705302
2020-11-15 22:32:15.613,1.596674,1.703927,1.724303,1.706552
2020-11-15 22:32:15.630,1.598174,1.707552,1.715927,1.704927
2020-11-15 22:32:15.647,1.601549,1.708427,1.717427,1.704427
2020-11-15 22:32:15.664,1.599549,1.720302,1.717552,1.704052
2020-11-15 22:32:15.681,1.598924,1.716802,1.721803,1.704427
2020-11-15 22:32:15.698,1.598674,1.715427,1.731678,1.705052
2020-11-15 22:32:15.715,1.598049,1.709302,1.725053,1.706677
2020-11-15 22:32:15.732,1.597174,1.705427,1.722678,1.706052
2020-11-15 22:32:15.749,1.598049,1.708677,1.713552,1.705552
2020-11-15 22:32:15.766,1.600174,1.711927,1.717802,1.704302
2020-11-15 22:32:15.783,1.599549,1.721178,1.719177,1.704302
2020-11-15 22:32:15.800,1.598049,1.716052,1.729428,1.704802
2020-11-15 22:32:15.817,1.597924,1.715052,1.725803,1.705177
2020-11-15 22:32:15.834,1.597549,1.707177,1.724803,1.706177
2020-11-15 22:32:15.851,1.598299,1.706802,1.720177,1.706177
2020-11-15 22:32:15.868,1.600549,1.709302,1.712427,1.705052
2020-11-15 22:32:15.885,1.599424,1.716677,1.717552,1.703927
2020-11-15 22:32:15.902,1.598174,1.717427,1.720052,1.704927
2020-11-15 22:32:15.919,1.598549,1.715677,1.728678,1.704427
2020-11-15 22:32:15.936,1.596924,1.712177,1.725178,1.706052
2020-11-15 22:32:15.953,1.597299,1.703052,1.722553,1.706052
2020-11-15 22:32:15.970,1.599424,1.708677,1.713177,1.705552
2020-11-15 22:32:15.987,1.600674,1.709552,1.717177,1.704927
2020-11-15 22:32:16.004,1.598924,1.718427,1.718927,1.703677
2020-11-15 22:32:16.021,1.598424,1.716052,1.724178,1.704052
2020-11-15 22:32:16.038,1.598049,1.715427,1.728678,1.705677
2020-11-15 22:32:16.055,1.597299,1.706677,1.724428,1.707302
2020-11-15 22:32:16.072,1.598299,1.708052,1.722178,1.705677
2020-11-15 22:32:16.089,1.598924,1.709052,1.711802,1.705302
2020-11-15 22:32:16.106,1.600549,1.713052,1.716427,1.704802
2020-11-15 22:32:16.123,1.598674,1.722678,1.717802,1.704552
2020-11-15 22:32:16.140,1.597174,1.715677,1.730553,1.705052
2020-11-15 22:32:16.157,1.597924,1.714302,1.725428,1.705052
2020-11-15 22:32:16.174,1.598174,1.705302,1.724678,1.706177
2020-11-15 22:32:16.191,1.598924,1.707802,1.717177,1.705302
2020-11-15 22:32:16.208,1.600674,1.708677,1.715927,1.705177
2020-11-15 22:32:16.225,1.599424,1.713677,1.718052,1.703927
2020-11-15 22:32:16.242,1.598299,1.716302,1.721178,1.704552
2020-11-15 22:32:16.259,1.598174,1.714427,1.730928,1.705177
2020-11-15 22:32:16.276,1.598424,1.710427,1.725053,1.706302
2020-11-15 22:32:16.293,1.597549,1.703552,1.723803,1.706052
2020-11-15 22:32:16.310,1.598174,1.709052,1.714927,1.705302
2020-11-15 22:32:16.327,1.601799,1.711302,1.716302,1.704802
2020-11-15 22:32:16.344,1.597674,1.720177,1.718427,1.703927
2020-11-15 22:32:16.361,1.598049,1.717552,1.722053,1.705052
2020-11-15 22:32:16.379,1.598424,1.715927,1.728928,1.704802
2020-11-15 22:32:16.396,1.598424,1.712302,1.725428,1.705427
2020-11-15 22:32:16.413,1.597049,1.703427,1.723303,1.706177
2020-11-15 22:32:16.430,1.598674,1.708552,1.714052,1.705552
2020-11-15 22:32:16.447,1.600924,1.709302,1.717802,1.705552
2020-11-15 22:32:16.464,1.598299,1.717427,1.719052,1.703552
2020-11-15 22:32:16.481,1.599424,1.716302,1.723553,1.704177
2020-11-15 22:32:16.498,1.598424,1.715302,1.730053,1.705177
2020-11-15 22:32:16.515,1.598049,1.711927,1.724803,1.706677
2020-11-15 22:32:16.532,1.597299,1.707677,1.721553,1.706052
2020-11-15 22:32:16.549,1.599924,1.708927,1.713177,1.706052
2020-11-15 22:32:16.566,1.600174,1.712052,1.717052,1.704052
2020-11-15 22:32:16.583,1.599174,1.722678,1.717302,1.704427
2020-11-15 22:32:16.600,1.598424,1.715552,1.724553,1.704677
2020-11-15 22:32:16.617,1.597924,1.714552,1.725678,1.705552
2020-11-15 22:32:16.634,1.597924,1.705302,1.724428,1.706552
2020-11-15 22:32:16.651,1.598174,1.707052,1.717927,1.705427
2020-11-15 22:32:16.668,1.601299,1.708427,1.714552,1.705302
2020-11-15 22:32:16.685,1.599424,1.718927,1.718802,1.704677
2020-11-15 22:32:16.702,1.598674,1.716427,1.721178,1.705052
2020-11-15 22:32:16.719,1.598799,1.715427,1.730553,1.704677
2020-11-15 22:32:16.736,1.596549,1.711802,1.725303,1.706927
2020-11-15 22:32:16.753,1.597674,1.703052,1.723678,1.705302
2020-11-15 22:32:16.770,1.598174,1.709427,1.716177,1.705552
2020-11-15 22:32:16.787,1.599049,1.710802,1.717552,1.705427
2020-11-15 22:32:16.804,1.599174,1.719552,1.718802,1.704302
2020-11-15 22:32:16.821,1.598299,1.716802,1.726678,1.704302
2020-11-15 22:32:16.838,1.597549,1.715552,1.726178,1.704302
2020-11-15 22:32:16.855,1.598424,1.709177,1.724803,1.706802
2020-11-15 22:32:16.872,1.597299,1.707677,1.720803,1.705927
2020-11-15 22:32:16.889,1.599924,1.709302,1.712052,1.705552
2020-11-15 22:32:16.906,1.599049,1.714427,1.716802,1.704552
2020-11-15 22:32:16.923,1.598674,1.720302,1.718677,1.704552
2020-11-15 22:32:16.940,1.598049,1.715552,1.727053,1.704927
2020-11-15 22:32:16.956,1.597924,1.713177,1.724928,1.705552
2020-11-15 22:32:16.973,1.597424,1.703802,1.723928,1.706302
2020-11-15 22:32:16.990,1.598924,1.707802,1.714802,1.705177
2020-11-15 22:32:17.007,1.600924,1.708927,1.717052,1.705177
2020-11-15 22:32:17.025,1.598549,1.715927,1.717302,1.704427
2020-11-15 22:32:17.042,1.598299,1.717927,1.721553,1.704802
2020-11-15 22:32:17.059,1.597549,1.715427,1.731928,1.704927
2020-11-15 22:32:17.076,1.598799,1.712552,1.724928,1.705802
2020-11-15 22:32:17.093,1.597799,1.703302,1.722803,1.706052
2020-11-15 22:32:17.110,1.597924,1.707677,1.714177,1.705302
2020-11-15 22:32:17.127,1.600549,1.708802,1.717427,1.704802
2020-11-15 22:32:17.144,1.598924,1.721428,1.718052,1.704927
2020-11-15 22:32:17.161,1.597924,1.716177,1.723428,1.704802
2020-11-15 22:32:17.178,1.597049,1.715677,1.729303,1.704052
2020-11-15 22:32:17.196,1.597674,1.712177,1.726303,1.706927
2020-11-15 22:32:17.213,1.597799,1.702677,1.723928,1.706427
2020-11-15 22:32:17.230,1.597924,1.708427,1.716552,1.705927
2020-11-15 22:32:17.247,1.600799,1.710427,1.714302,1.704927
2020-11-15 22:32:17.264,1.598549,1.719677,1.717302,1.704177
2020-11-15 22:32:17.281,1.598174,1.716677,1.725678,1.704177
2020-11-15 22:32:17.298,1.598424,1.715427,1.727928,1.704927
2020-11-15 22:32:17.315,1.598299,1.710302,1.724803,1.706302
2020-11-15 22:32:17.332,1.597424,1.703427,1.721303,1.705052
2020-11-15 22:32:17.349,1.600049,1.708427,1.712177,1.705177
2020-11-15 22:32:17.366,1.599424,1.710302,1.717677,1.704427
2020-11-15 22:32:17.383,1.598424,1.721178,1.718802,1.704552
2020-11-15 22:32:17.400,1.598299,1.716052,1.727428,1.705552
2020-11-15 22:32:17.417,1.597424,1.713302,1.725303,1.705302
2020-11-15 22:32:17.434,1.598049,1.705177,1.724303,1.706927
2020-11-15 22:32:17.451,1.598424,1.708427,1.720678,1.705052
2020-11-15 22:32:17.468,1.600299,1.709677,1.711677,1.706052
2020-11-15 22:32:17.485,1.598674,1.715552,1.717802,1.704427
2020-11-15 22:32:17.502,1.599049,1.719177,1.721553,1.704802
2020-11-15 22:32:17.519,1.597674,1.715677,1.731803,1.704677
2020-11-15 22:32:17.536,1.597049,1.712302,1.725178,1.705802
2020-11-15 22:32:17.553,1.597924,1.703552,1.723428,1.706177
2020-11-15 22:32:17.570,1.598299,1.707927,1.714052,1.705427
2020-11-15 22:32:17.587,1.601674,1.711677,1.716927,1.705177
2020-11-15 22:32:17.604,1.599299,1.721428,1.718052,1.703927
2020-11-15 22:32:17.621,1.598049,1.716052,1.722553,1.704677
2020-11-15 22:32:17.638,1.597424,1.716052,1.730553,1.704802
2020-11-15 22:32:17.655,1.597549,1.708552,1.723428,1.707427
2020-11-15 22:32:17.672,1.597299,1.706677,1.722178,1.705927
2020-11-15 22:32:17.689,1.600174,1.709052,1.711927,1.704927
2020-11-15 22:32:17.706,1.598799,1.712302,1.718177,1.704177
2020-11-15 22:32:17.723,1.598799,1.721928,1.720052,1.704302
2020-11-15 22:32:17.740,1.597799,1.716052,1.729803,1.704177
2020-11-15 22:32:17.757,1.597799,1.714427,1.725928,1.704802
2020-11-15 22:32:17.774,1.597049,1.703177,1.723928,1.706427
2020-11-15 22:32:17.791,1.598049,1.708552,1.718302,1.705552
2020-11-15 22:32:17.808,1.600174,1.709552,1.713552,1.704927
2020-11-15 22:32:17.825,1.598674,1.717927,1.717677,1.704177
2020-11-15 22:32:17.842,1.598049,1.716677,1.720428,1.704802
2020-11-15 22:32:17.859,1.597424,1.715552,1.729678,1.704677
2020-11-15 22:32:17.876,1.597799,1.711927,1.724928,1.706052
2020-11-15 22:32:17.893,1.597549,1.702677,1.721928,1.705302
2020-11-15 22:32:17.910,1.599174,1.707927,1.713302,1.705177
2020-11-15 22:32:17.926,1.600174,1.710052,1.717552,1.703927
2020-11-15 22:32:17.944,1.598549,1.718927,1.718177,1.705427
2020-11-15 22:32:17.960,1.598299,1.716552,1.725803,1.704302
2020-11-15 22:32:17.977,1.597174,1.714552,1.727428,1.705427
2020-11-15 22:32:17.994,1.598049,1.704802,1.723928,1.706927
2020-11-15 22:32:18.011,1.597299,1.703302,1.723803,1.706052
2020-11-15 22:32:18.030,1.597924,1.708927,1.714677,1.705677
2020-11-15 22:32:18.047,1.600674,1.710802,1.716677,1.704927
2020-11-15 22:32:18.064,1.598174,1.720428,1.717427,1.704552
2020-11-15 22:32:18.081,1.598924,1.716552,1.727803,1.704302
2020-11-15 22:32:18.098,1.597799,1.715177,1.725303,1.704677
2020-11-15 22:32:18.115,1.597674,1.708552,1.724303,1.706927
2020-11-15 22:32:18.132,1.597299,1.705552,1.720803,1.705552
2020-11-15 22:32:18.149,1.600924,1.708427,1.711302,1.705552
2020-11-15 22:32:18.166,1.598924,1.715302,1.718052,1.704427
2020-11-15 22:32:18.183,1.598674,1.719302,1.718677,1.704677
2020-11-15 22:32:18.200,1.597674,1.716052,1.728053,1.704802
2020-11-15 22:32:18.216,1.596674,1.712802,1.725678,1.706427
2020-11-15 22:32:18.233,1.597299,1.703927,1.723928,1.706302
2020-11-15 22:32:18.250,1.598424,1.708552,1.719427,1.705677
2020-11-15 22:32:18.267,1.600674,1.709177,1.716677,1.704927
2020-11-15 22:32:18.284,1.598299,1.716302,1.718552,1.704177
2020-11-15 22:32:18.301,1.598924,1.716927,1.722803,1.704552
2020-11-15 22:32:18.318,1.598549,1.715052,1.730428,1.704302
2020-11-15 22:32:18.335,1.598174,1.711552,1.724928,1.706677
2020-11-15 22:32:18.352,1.596799,1.706427,1.722178,1.705677
2020-11-15 22:32:18.369,1.598174,1.708927,1.712927,1.706052
2020-11-15 22:32:18.386,1.599674,1.711927,1.716927,1.704802
2020-11-15 22:32:18.403,1.598674,1.721803,1.717927,1.704677
2020-11-15 22:32:18.420,1.597674,1.715927,1.723803,1.705177
2020-11-15 22:32:18.437,1.597674,1.715177,1.727678,1.704677
2020-11-15 22:32:18.454,1.596924,1.705677,1.724428,1.707052
2020-11-15 22:32:18.471,1.597174,1.708302,1.718552,1.705802
2020-11-15 22:32:18.488,1.600549,1.708927,1.713927,1.704677
2020-11-15 22:32:18.505,1.599549,1.712302,1.718552,1.703927
2020-11-15 22:32:18.522,1.598424,1.721678,1.720553,1.704927
2020-11-15 22:32:18.539,1.598174,1.716677,1.729303,1.704677
2020-11-15 22:32:18.556,1.598674,1.711552,1.725678,1.706302
2020-11-15 22:32:18.573,1.597049,1.702927,1.724303,1.706052
2020-11-15 22:32:18.590,1.597799,1.709302,1.716552,1.705302
2020-11-15 22:32:18.607,1.599674,1.710177,1.715177,1.705427
2020-11-15 22:32:18.624,1.599549,1.719927,1.718427,1.704177
2020-11-15 22:32:18.641,1.598424,1.716927,1.725803,1.704802
2020-11-15 22:32:18.658,1.597049,1.715302,1.726553,1.704677
2020-11-15 22:32:18.675,1.597674,1.710177,1.724803,1.705927
2020-11-15 22:32:18.692,1.597799,1.703927,1.722053,1.705552
2020-11-15 22:32:18.709,1.599799,1.708302,1.711427,1.705927
2020-11-15 22:32:18.726,1.600049,1.714052,1.717552,1.704677
2020-11-15 22:32:18.743,1.598924,1.721303,1.718802,1.704927
2020-11-15 22:32:18.760,1.598049,1.715302,1.727428,1.704802
2020-11-15 22:32:18.777,1.597924,1.713802,1.725178,1.706302
2020-11-15 22:32:18.794,1.597549,1.704677,1.724803,1.706802
2020-11-15 22:32:18.811,1.597549,1.707677,1.715302,1.706052
2020-11-15 22:32:18.828,1.599674,1.709052,1.717052,1.704677
2020-11-15 22:32:18.846,1.599049,1.712052,1.718427,1.704677
2020-11-15 22:32:18.863,1.598174,1.721428,1.719177,1.704677
2020-11-15 22:32:18.880,1.596674,1.716302,1.728803,1.704677
2020-11-15 22:32:18.897,1.597549,1.715552,1.724803,1.704552
2020-11-15 22:32:18.914,1.597674,1.707177,1.724178,1.706177
2020-11-15 22:32:18.931,1.597174,1.708052,1.719802,1.706427
2020-11-15 22:32:18.948,1.599299,1.709552,1.712552,1.705427
2020-11-15 22:32:18.965,1.598799,1.717427,1.717927,1.703677
2020-11-15 22:32:18.982,1.598799,1.716927,1.719927,1.705427
2020-11-15 22:32:18.999,1.597799,1.715552,1.729053,1.705177
2020-11-15 22:32:19.016,1.597049,1.711927,1.725053,1.706177
2020-11-15 22:32:19.033,1.596674,1.703052,1.722553,1.705552
2020-11-15 22:32:19.050,1.598674,1.708302,1.713427,1.705552
2020-11-15 22:32:19.067,1.599799,1.709427,1.717302,1.704677
2020-11-15 22:32:19.084,1.597799,1.717927,1.718177,1.704677
2020-11-15 22:32:19.101,1.598299,1.715802,1.724928,1.704677
2020-11-15 22:32:19.118,1.597299,1.714927,1.728553,1.706052
2020-11-15 22:32:19.134,1.596924,1.706302,1.724553,1.707302
2020-11-15 22:32:19.151,1.596924,1.707802,1.721553,1.706052
2020-11-15 22:32:19.169,1.599424,1.708927,1.712052,1.705927
2020-11-15 22:32:19.186,1.599799,1.713052,1.716802,1.704927
2020-11-15 22:32:19.202,1.598924,1.722428,1.720428,1.704552
2020-11-15 22:32:19.219,1.597924,1.715177,1.729803,1.704552
2020-11-15 22:32:19.236,1.596924,1.713552,1.725303,1.705302
2020-11-15 22:32:19.253,1.597799,1.704302,1.724678,1.706177
2020-11-15 22:32:19.270,1.597674,1.707427,1.716802,1.705677
2020-11-15 22:32:19.287,1.600549,1.710302,1.716302,1.705302
2020-11-15 22:32:19.304,1.598549,1.719552,1.718677,1.704427
2020-11-15 22:32:19.322,1.598674,1.719802,1.721428,1.703552
2020-11-15 22:32:19.339,1.596924,1.715052,1.730928,1.703927
2020-11-15 22:32:19.356,1.596924,1.712427,1.725178,1.706677
2020-11-15 22:32:19.373,1.597674,1.704052,1.724178,1.705927
2020-11-15 22:32:19.390,1.597049,1.709427,1.714427,1.705302
2020-11-15 22:32:19.407,1.600799,1.711302,1.716927,1.704927
2020-11-15 22:32:19.424,1.598924,1.720177,1.717677,1.704552
2020-11-15 22:32:19.441,1.597799,1.716302,1.721678,1.704802
2020-11-15 22:32:19.458,1.597674,1.715427,1.725053,1.705677
2020-11-15 22:32:19.475,1.597299,1.708552,1.725053,1.706552
2020-11-15 22:32:19.492,1.597049,1.706052,1.720177,1.705427
2020-11-15 22:32:19.509,1.600924,1.708427,1.711177,1.705802
2020-11-15 22:32:19.526,1.599049,1.711427,1.717802,1.703927
2020-11-15 22:32:19.543,1.598424,1.720678,1.719927,1.703427
2020-11-15 22:32:19.560,1.597674,1.715427,1.729428,1.704677
2020-11-15 22:32:19.577,1.598174,1.712177,1.725803,1.705802
2020-11-15 22:32:19.594,1.596174,1.704052,1.724428,1.706177
2020-11-15 22:32:19.611,1.597799,1.708677,1.719052,1.706052
2020-11-15 22:32:19.628,1.599049,1.708927,1.712677,1.705677
2020-11-15 22:32:19.645,1.599674,1.712552,1.718302,1.704177
2020-11-15 22:32:19.662,1.598924,1.718302,1.718302,1.703927
2020-11-15 22:32:19.681,1.597549,1.716052,1.725178,1.703802
2020-11-15 22:32:19.698,1.596299,1.715177,1.727928,1.705052
2020-11-15 22:32:19.715,1.597799,1.710302,1.724178,1.706552
2020-11-15 22:32:19.732,1.596674,1.707802,1.721303,1.705427
2020-11-15 22:32:19.749,1.599049,1.708677,1.711802,1.705427
2020-11-15 22:32:19.766,1.599924,1.713927,1.717052,1.704552
2020-11-15 22:32:19.783,1.597924,1.721303,1.717177,1.704177
2020-11-15 22:32:19.799,1.596799,1.716052,1.731303,1.704552
2020-11-15 22:32:19.816,1.597424,1.713677,1.724803,1.705427
2020-11-15 22:32:19.833,1.597549,1.704552,1.724053,1.706302
2020-11-15 22:32:19.850,1.597674,1.707677,1.715552,1.705677
2020-11-15 22:32:19.867,1.600549,1.708927,1.716802,1.705052
2020-11-15 22:32:19.884,1.599549,1.714052,1.718302,1.704302
2020-11-15 22:32:19.901,1.598049,1.716802,1.721803,1.705177
2020-11-15 22:32:19.918,1.598424,1.715427,1.730928,1.704927
2020-11-15 22:32:19.935,1.597549,1.709552,1.725303,1.706677
2020-11-15 22:32:19.952,1.597424,1.704552,1.722803,1.706302
2020-11-15 22:32:19.969,1.598174,1.708802,1.713927,1.705677
2020-11-15 22:32:19.986,1.600674,1.711677,1.717427,1.704552
2020-11-15 22:32:20.003,1.599299,1.720428,1.718677,1.704302
2020-11-15 22:32:20.020,1.598299,1.716552,1.728178,1.704802
2020-11-15 22:32:20.037,1.598174,1.715052,1.725178,1.704677
2020-11-15 22:32:20.054,1.597799,1.707802,1.724303,1.706677
2020-11-15 22:32:20.071,1.597674,1.706677,1.720803,1.704677
2020-11-15 22:32:20.088,1.600924,1.708052,1.711677,1.704927
2020-11-15 22:32:20.105,1.597674,1.716052,1.717927,1.703927
2020-11-15 22:32:20.122,1.598799,1.718177,1.719802,1.704052
2020-11-15 22:32:20.139,1.597049,1.715677,1.729178,1.704677
2020-11-15 22:32:20.156,1.598049,1.711927,1.724803,1.706052
2020-11-15 22:32:20.173,1.597549,1.703177,1.723928,1.706052
2020-11-15 22:32:20.190,1.597924,1.708302,1.717927,1.705927
2020-11-15 22:32:20.207,1.601174,1.709552,1.716802,1.704927
2020-11-15 22:32:20.224,1.598924,1.717927,1.718427,1.704052
2020-11-15 22:32:20.241,1.598299,1.716302,1.723553,1.704302
2020-11-15 22:32:20.258,1.597799,1.715177,1.729803,1.704052
2020-11-15 22:32:20.275,1.596924,1.710677,1.724803,1.705927
2020-11-15 22:32:20.292,1.597549,1.708177,1.721928,1.705552
2020-11-15 22:32:20.309,1.598674,1.708427,1.712927,1.705552
2020-11-15 22:32:20.326,1.600299,1.712677,1.717052,1.704552
2020-11-15 22:32:20.343,1.598299,1.721803,1.717802,1.704302
2020-11-15 22:32:20.360,1.597924,1.715927,1.725303,1.705052
2020-11-15 22:32:20.377,1.596799,1.713927,1.725303,1.705302
2020-11-15 22:32:20.394,1.597299,1.704427,1.724303,1.706677
2020-11-15 22:32:20.411,1.597549,1.707677,1.717552,1.704552
2020-11-15 22:32:20.428,1.599674,1.708677,1.714677,1.705052
2020-11-15 22:32:20.445,1.600049,1.713552,1.717927,1.703927
2020-11-15 22:32:20.462,1.597799,1.720928,1.720928,1.704302
